category,ACC,AP,R_ACC,F_ACC,N_real,N_fake
airplane,0.9975,0.9999751243781094,1.0,0.995,200,200
bicycle,0.9875,0.9996501456970598,0.99,0.985,200,200
bird,0.9975,1.0,0.995,1.0,200,200
boat,1.0,1.0,1.0,1.0,200,200
bottle,1.0,1.0,1.0,1.0,200,200
bus,1.0,1.0,1.0,1.0,200,200
car,1.0,1.0,1.0,1.0,200,200
cat,1.0,1.0,1.0,1.0,200,200
chair,1.0,1.0,1.0,1.0,200,200
cow,0.9975,1.0,0.995,1.0,200,200
diningtable,0.9975,1.0,0.995,1.0,200,200
dog,1.0,1.0,1.0,1.0,200,200
horse,1.0,1.0,1.0,1.0,200,200
motorbike,0.995,1.0,1.0,0.99,200,200
person,0.9975,1.0,0.995,1.0,200,200
pottedplant,1.0,1.0,1.0,1.0,200,200
sheep,0.9975,1.0,0.995,1.0,200,200
sofa,1.0,1.0,1.0,1.0,200,200
train,0.99,0.9985355570615819,1.0,0.98,200,200
tvmonitor,1.0,1.0,1.0,1.0,200,200
POOLED,0.997875,0.9999162660132741,0.99825,0.9975,4000,4000
